trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
96,0.9873070749475243,1.0,0.95,0.2379890771472369,0.30454871680713774,0.24819766197348303,0.20926454407214223
97,0.9246820595135202,0.8,0.85,0.22055490005123687,0.10969191858310273,0.4314463196089479,0.23830686175671245
98,0.981545046713586,1.0,0.9,0.2805215875374823,0.16024242330931218,0.2868329964168237,0.27240299273638174
99,0.9675350866362102,0.9,0.65,0.44458052067547305,0.21443691119934932,0.2177002022237984,0.12328236590137923
100,0.8714079927563073,0.7,0.8,0.17931079877058229,0.32500099084809647,0.09833902062223533,0.39734918975908584
101,0.9562579742355022,0.9,0.85,0.30459328015842096,0.128895252660085,0.2289645954890639,0.33754687169243025
102,0.976984812939869,1.0,0.9,0.24540687925010946,0.22436680533473774,0.23739483121544167,0.29283148419971106
103,0.9712886364571757,1.0,0.9,0.21122214714361137,0.23665667488633735,0.3246002269217581,0.22752095104829315
104,0.866502037288554,0.7,0.75,0.1534109312324094,0.10047632750844653,0.28152960683913675,0.46458313442000737
105,0.9779067374572992,0.9,0.8,0.3614769958517766,0.17050111554533884,0.20889107170075055,0.2591308169021341
106,0.9890686092933283,1.0,0.9,0.2859651523307649,0.293001643925209,0.277419709888229,0.14361349385579716
107,0.9079721776350989,0.8,0.7,0.5220970274476743,0.11147736195776267,0.13270777113975613,0.23371783945480681
108,0.9460344898547145,0.9,0.75,0.3486629100202608,0.3577166478290557,0.10591256371863719,0.18770787843204645
109,0.9751080380293863,0.9,0.9,0.3313890916505943,0.24247876780142857,0.169740769188001,0.2563913713599759
110,0.9258344651603078,0.9,0.8,0.2941092141343936,0.3561646895101649,0.0920111566547178,0.25771493970072357
111,0.9785158661563156,1.0,0.9,0.29738203334840996,0.3458191309213741,0.17751475975659975,0.17928407597361615
112,0.9213400831378359,0.7,0.7,0.4968040340828336,0.06787483697803125,0.19408384173237062,0.24123728720676443
113,0.9643412767008273,0.9,0.9,0.21503815392310907,0.17915007339136962,0.3087651526751367,0.2970466200103844
114,0.9811993250195497,1.0,0.9,0.2589604392239429,0.20497944274665672,0.24951115444797903,0.2865489635814213
115,0.9175536074412479,0.8,0.9,0.12975288166495602,0.2403926876755837,0.28742355859189783,0.3424308720675624
116,0.9845248384574228,1.0,0.85,0.3842811610576207,0.18635868695749183,0.22889347143500957,0.2004666805498778
117,0.9398773511133061,0.9,0.85,0.20683483759905216,0.20074566998303303,0.22459898928194597,0.36782050313596887
118,0.9664485327406674,0.9,0.9,0.26693596055761165,0.12908622416530607,0.34843448096325097,0.25554333431383136
119,0.9926575297361813,1.0,1.0,0.2628187828293498,0.24069193769238142,0.24568367621198575,0.250805603266283
120,0.9090916574062641,0.8,0.8,0.12634145610056352,0.3953432385882887,0.22526332331938986,0.25305198199175793
121,0.9168292381775526,0.8,0.8,0.22018901657878534,0.4299115650436554,0.1331276220600218,0.2167717963175375
122,0.9551384944643371,0.9,0.9,0.20327162361615922,0.3421923722277394,0.20064158805728752,0.25389441609881386
123,0.8774334279952258,0.7,0.85,0.15449108848199558,0.4095021080186895,0.12183505482246729,0.31417174867684744
124,0.9602420051858255,0.9,0.9,0.30491018871905434,0.3250930870247932,0.1320222328445169,0.2379744914116356
125,0.9574268428201012,1.0,0.9,0.24779764287335232,0.35344906043596297,0.16129820499804048,0.23745509169264423
126,0.9878832777709182,1.0,0.9,0.2753459211293088,0.25227756318936895,0.21268770139419807,0.2596888142871243
127,0.9623821871012883,0.9,0.9,0.33153798703749404,0.34366830534755327,0.13089789092226747,0.19389581669268532
128,0.936140264230152,0.8,0.9,0.16245228394100605,0.2820206641022683,0.2345818304177181,0.3209452215390076
